[2025-08-07T06:54:07.638Z] ERROR: GET /main.8179ec11f7d1088a2dd7.hot-update.json - 404 | {"duration":"5ms","ip":"127.0.0.1"}
[2025-08-07T06:54:08.278Z] ERROR: GET /home - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T06:54:08.427Z] ERROR: GET /home - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T06:57:32.681Z] ERROR: GET /home - 404 | {"duration":"4ms","ip":"::1"}
[2025-08-07T06:57:32.688Z] ERROR: GET /home - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:00:56.618Z] ERROR: GET /home - 404 | {"duration":"7ms","ip":"::1"}
[2025-08-07T07:00:56.625Z] ERROR: GET /home - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:01:06.396Z] ERROR: GET /home - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:01:06.440Z] ERROR: GET /home - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:03:49.797Z] ERROR: GET /pgs/public - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:03:49.802Z] ERROR: GET /pgs/public - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:03:51.431Z] ERROR: GET /bikes/public - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:03:51.439Z] ERROR: GET /bikes/public - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:03:52.588Z] ERROR: GET /content/about - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:03:52.906Z] ERROR: GET /content/about - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:08:08.607Z] ERROR: GET /pgs/public - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T07:08:08.615Z] ERROR: GET /pgs/public - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:11:17.964Z] ERROR: GET /bikes/public - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:11:18.273Z] ERROR: GET /bikes/public - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T07:11:20.726Z] ERROR: GET /bikes/public - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:11:20.897Z] ERROR: GET /bikes/public - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:34:20.842Z] ERROR: GET /bookings - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:34:20.986Z] ERROR: GET /user-loyalty - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:34:21.163Z] ERROR: GET /bookings - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:34:21.302Z] ERROR: GET /user-loyalty - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:34:32.326Z] ERROR: GET /bookings - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:34:32.328Z] ERROR: GET /user-loyalty - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T07:34:32.642Z] ERROR: GET /bookings - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:34:32.646Z] ERROR: GET /user-loyalty - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T07:35:16.610Z] ERROR: GET /bookings - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T07:35:16.619Z] ERROR: GET /user-loyalty - 404 | {"duration":"1ms","ip":"::1"}
